vocabulary,about_ethnicity,about_nationality,about_religion,about_gender,about_sexual_orientation,about_disability,about_class,offensiveness
abbo,1,0,0,0,0,0,0,0.00
abc,1,1,0,0,0,0,0,0.00
abcd,1,0,0,0,0,0,0,0.00
abo,1,0,0,0,0,0,0,0.00
af,1,0,0,0,0,0,0,0.00
african catfish,1,0,1,0,0,0,0,0.00
africoon,1,0,0,0,0,0,0,0.00
afro-saxon,1,0,0,0,0,0,0,0.00
albino,1,0,0,0,0,0,0,0.00
alligator bait,1,0,0,0,0,0,0,1.00
americoon,1,0,0,0,0,0,0,1.00
anchor baby,1,0,0,0,0,0,0,0.00
angie,1,0,0,0,0,0,0,0.00
anglo,1,0,0,0,0,0,0,0.03
ann,1,0,0,0,0,0,0,0.00
ape,1,0,0,0,0,0,0,0.00
apple,1,0,0,0,0,0,0,0.00
armo,1,0,0,0,0,0,0,0.00
aunt jane,1,0,0,0,0,0,0,0.00
aunt jemima,1,0,0,0,0,0,0,0.00
aunt mary,1,0,0,0,0,0,0,0.00
aunt sally,1,0,0,0,0,0,0,0.00
azn,1,0,0,0,0,0,0,0.00
bamboo coon,1,1,0,0,0,0,0,0.93
banana,1,0,0,0,0,0,0,0.00
banjo lips,1,0,0,0,0,0,0,0.00
bans and cans,1,1,0,0,0,0,0,0.00
beach nigger,1,0,0,0,0,0,0,0.00
bean dipper,1,0,0,0,0,0,0,0.00
beaner,1,0,0,0,0,0,0,0.00
beaner shnitzel,1,1,0,0,0,0,0,0.00
beaney,1,0,0,0,0,0,0,0.00
bengali,1,1,1,0,0,0,0,0.00
bhrempti,1,1,0,0,0,0,0,0.00
bix nood,1,0,0,0,0,0,0,0.00
black barbie,1,0,0,0,0,0,0,0.00
black dago,1,1,0,0,0,0,0,0.00
blaxican,1,1,0,0,0,0,0,0.00
bluegum,1,0,0,0,0,0,0,0.00
bogan,1,1,0,0,0,0,1,0.00
bong,1,0,0,0,0,0,0,0.00
boo,1,0,0,0,0,0,0,0.00
boojie,1,0,0,0,0,0,1,0.00
book book,1,1,0,0,0,0,0,0.00
boong,1,0,0,0,0,0,0,0.00
boonga,1,0,0,0,0,0,0,0.00
boonie,1,0,0,0,0,0,0,0.00
border bunny,1,0,0,0,0,0,0,0.00
border hopper,1,0,0,0,0,0,0,0.00
border jumper,1,0,0,0,0,0,0,0.00
border nigger,1,0,0,0,0,0,0,0.00
bounty bar,1,0,0,0,0,0,0,0.66
brass ankle,1,0,0,0,0,0,0,0.00
brownie,1,0,0,0,0,0,0,0.00
bubble,1,1,0,0,0,0,0,0.00
buck,1,0,0,0,0,0,0,0.00
buckethead,1,1,0,0,0,0,0,0.00
buckra,1,0,0,0,0,0,0,0.00
buckwheat,1,0,0,0,0,0,0,0.00
buddhahead,1,0,0,0,0,0,0,0.00
buffie,1,0,0,0,0,0,0,0.00
bug eater,1,0,0,0,0,0,0,0.00
buk buk,1,1,0,0,0,0,0,0.00
bumblebee,1,0,0,0,0,0,0,0.00
bung,1,0,0,0,0,0,0,0.00
bunga,1,0,0,0,0,0,0,0.00
burrhead,1,0,0,0,0,0,0,0.00
butterhead,1,1,0,0,0,0,0,0.00
cab nigger,1,0,0,0,0,0,0,0.79
camel cowboy,1,0,0,0,0,0,0,0.00
camel fucker,1,1,1,0,0,0,0,0.00
camel humper,1,0,0,0,0,0,0,0.00
camel jacker,1,0,0,0,0,0,0,0.00
camel jockey,1,0,0,0,0,0,0,0.00
can eater,1,0,0,0,0,0,0,0.00
carpet pilot,1,0,0,0,0,0,0,0.00
caublasian,1,0,0,0,0,0,0,0.00
cave nigger,1,0,0,0,0,0,1,0.00
celestial,1,1,0,0,0,0,0,0.00
charlie,1,1,0,0,0,0,0,0.00
chee chee,1,0,0,0,0,0,0,0.00
chi chi,1,0,0,0,0,0,0,0.00
chigger,1,1,0,0,0,0,0,0.00
chili shitter,1,0,0,0,0,0,0,0.00
chinese wetback,1,1,0,0,0,0,0,0.00
ching chong,1,0,0,0,0,0,0,0.24
chinig,1,1,0,0,0,0,0,0.00
chink a billy,1,1,0,0,0,0,1,0.00
chonky,1,1,0,0,0,0,0,0.00
christ killer,1,0,1,0,0,0,0,0.86
chug,1,0,0,0,0,0,0,0.00
chunky,1,1,0,0,0,0,0,0.00
cocoa,1,0,0,0,0,0,0,0.00
cocoa puff,1,0,0,0,0,0,0,0.00
coconut,1,0,0,0,0,0,0,0.00
colored,1,0,0,0,0,0,0,0.00
coloured,1,0,0,0,0,0,0,0.00
coolie,1,0,0,0,0,0,0,0.00
coon,1,0,0,0,0,0,0,0.00
coon ass,1,0,0,0,0,0,0,0.00
cotton picker,1,0,0,0,0,0,0,0.00
cow kisser,1,1,0,0,0,0,0,0.00
cowboy killer,1,0,0,0,0,0,0,0.00
cracker,1,0,0,0,0,0,1,0.50
crow,1,0,0,0,0,0,0,0.00
curry muncher,1,0,0,0,0,0,0,0.00
curry slurper,1,0,0,0,0,0,0,0.00
curry stinker,1,0,0,0,0,0,0,0.00
cushi,1,0,0,0,0,0,0,0.00
cushite,1,0,0,0,0,0,0,0.00
dago,1,0,0,0,0,0,0,0.00
darkey,1,0,0,0,0,0,0,0.00
darkie,1,0,0,0,0,0,0,0.00
darky,1,0,0,0,0,0,0,0.00
dego,1,0,0,0,0,0,0,0.00
diaper head,1,0,0,0,0,0,0,0.00
dinge,1,0,0,0,0,0,0,0.00
dink,1,1,0,0,0,0,0,0.00
domes,1,1,0,0,0,0,0,0.00
dot head,1,1,0,0,0,0,0,0.00
dune coon,1,0,0,0,0,0,0,0.00
dune nigger,1,0,0,0,0,0,0,0.00
egg,1,0,0,0,0,0,0,0.00
eggplant,1,0,0,0,0,0,0,0.00
eight ball,1,0,0,0,0,0,0,0.00
eurotrash,1,0,0,0,0,0,0,0.00
eyetie,1,1,0,0,0,0,0,0.00
fez,1,0,0,0,0,0,0,0.00
fog nigger,1,1,0,0,0,0,0,0.00
four by two,1,0,1,0,0,0,0,0.00
frog,1,0,0,0,0,0,0,0.00
fuzzy,1,0,0,0,0,0,0,0.00
fuzzy wuzzy,1,0,0,0,0,0,0,0.00
gable,1,0,0,0,0,0,0,0.00
gator bait,1,0,0,0,0,0,0,0.00
gew,1,1,1,0,0,0,0,0.00
ghetto,1,0,0,0,0,0,0,0.00
ghetto hamster,1,0,0,0,0,0,0,0.00
ghost,1,0,0,0,0,0,0,0.00
gin,1,0,0,0,0,0,0,0.00
gin jockey,1,0,0,0,0,0,0,0.00
ginger,1,0,0,0,0,0,0,0.00
ginzo,1,1,0,0,0,0,0,0.00
gipp,1,0,0,0,0,0,0,0.00
gippo,1,0,0,0,0,0,0,0.00
golliwog,1,0,0,0,0,0,0,0.00
gook,1,0,0,0,0,0,0,0.00
gook eye,1,0,0,0,0,0,0,0.00
gooky,1,0,0,0,0,0,0,0.00
greaseball,1,1,0,0,0,0,0,0.75
greaser,1,1,0,0,0,0,0,0.00
groid,1,0,0,0,0,0,0,0.00
guala,1,1,0,0,0,0,0,0.00
guala guala,1,1,0,0,0,0,0,0.00
gub,1,0,0,0,0,0,0,0.00
gubba,1,0,0,0,0,0,0,0.00
guido,1,1,0,0,0,0,0,0.00
guinea,1,1,0,0,0,0,0,0.00
gun burglar,1,0,0,0,0,0,0,0.00
gyp,1,0,0,0,0,0,0,1.00
gypo,1,0,0,0,0,0,0,0.00
gyppie,1,0,0,0,0,0,0,0.00
gyppo,1,0,0,0,0,0,0,0.99
gyppy,1,0,0,0,0,0,0,0.00
hairyback,1,0,0,0,0,0,0,0.00
half breed,1,0,0,0,0,0,0,0.00
halfrican,1,0,0,0,0,0,0,0.00
hebe,1,0,1,0,0,0,0,1.00
hebro,1,0,1,0,0,0,0,0.00
heeb,1,0,1,0,0,0,0,1.00
higger,1,0,1,0,0,0,0,0.00
honkey,1,0,0,0,0,0,0,0.00
honkie,1,0,0,0,0,0,0,0.00
honky,1,0,0,0,0,0,0,0.00
house nigger,1,0,0,0,0,0,0,0.00
hunkie,1,1,0,0,0,0,0,0.00
hunky,1,1,0,0,0,0,0,0.00
hymie,1,0,1,0,0,0,0,0.00
ice nigger,1,1,0,0,0,0,0,0.00
ike,1,0,0,0,0,0,0,0.00
ikey,1,0,0,0,0,0,0,0.06
ikey mo,1,0,0,0,0,0,0,0.00
iky,1,0,0,0,0,0,0,0.00
injun,1,0,0,0,0,0,0,0.00
island nigger,1,1,0,0,0,0,0,0.00
jap,1,1,0,0,0,0,0,0.00
japie,1,1,0,0,0,0,0,0.00
jewbacca,1,0,0,0,0,0,0,0.00
jig,1,0,0,0,0,0,0,0.00
jigaboo,1,0,0,0,0,0,0,0.00
jigarooni,1,0,0,0,0,0,0,0.00
jigg,1,0,0,0,0,0,0,0.00
jigga,1,0,0,0,0,0,0,0.00
jiggabo,1,0,0,0,0,0,0,0.00
jiggaboo,1,0,0,0,0,0,0,0.00
jigger,1,0,0,0,0,0,0,0.00
jihadi,1,0,1,0,0,0,0,0.00
jijjiboo,1,0,0,0,0,0,0,0.00
jim fish,1,0,0,0,0,0,0,0.00
jungle bunny,1,0,0,0,0,0,0,0.00
junior mint,1,0,0,0,0,0,0,0.00
khazar,1,0,1,0,0,0,0,0.00
kike,1,0,0,0,0,0,0,0.33
knacker,1,1,0,0,0,0,0,0.00
kotiya,1,0,0,0,0,0,0,0.00
kushi,1,0,0,0,0,0,0,0.00
kushite,1,0,0,0,0,0,0,0.00
kyke,1,0,0,0,0,0,0,0.00
latrino,1,0,0,0,0,0,0,0.00
lawn jockey,1,0,0,0,0,0,0,0.00
lefty,1,0,0,0,0,0,0,0.00
lemonhead,1,0,0,0,0,0,0,0.00
ling ling,1,0,0,0,0,0,0,0.00
mack,1,1,0,0,0,0,0,0.00
mangia cake,1,0,0,0,0,0,0,0.00
mick,1,1,0,0,0,0,0,0.06
mickey,1,1,0,0,0,0,0,0.00
mickey finn,1,1,0,0,0,0,0,0.00
moch,1,0,0,0,0,0,0,0.00
mock,1,0,0,0,0,0,0,0.00
mockey,1,0,0,0,0,0,0,0.00
mockie,1,0,0,0,0,0,0,0.00
mocky,1,0,0,0,0,0,0,0.00
moke,1,0,0,0,0,0,1,0.00
moky,1,0,0,0,0,0,0,0.00
monkey,1,0,0,0,0,0,0,0.00
moon cricket,1,0,0,0,0,0,0,0.00
moor,1,0,0,0,0,0,0,0.00
moss eater,1,0,0,0,0,0,0,0.00
mosshead,1,0,0,0,0,0,0,0.00
moulie,1,0,0,0,0,0,0,0.00
moulignon,1,0,0,0,0,0,0,0.00
moulinyan,1,0,0,0,0,0,0,0.00
moxy,1,0,0,0,0,0,0,0.00
mud duck,1,0,0,0,0,0,0,0.00
