"ID","message","score"
"NA","I actually succeeded in raising my GPA this past semester! ","13"
"NA","1 ply tp is the bane of my existence ","16"
"NA","Friends always going out and I'm like 'dinner with myself... I can't cancel that again!'","49"
"NA","When a girl passes out at a MAC party she wakes up with more clothes on than she had on before passing out","54"
"NA","Ah, corduroy.....you truly are the ruffles chips of pants","47"
"NA","MAC boys remember the color of your eyes after a conversation ","45"
"NA","I wish 15 minutes could save me 15% or more on this test","55"
"NA","That awkward moment when you find your girlfriend on Tinder","57"
"NA","Wow ok snapchat where the fuck was the filter for my birthday","57"
"NA","Tried to kill a spider with axe body spray.. now it's making sexual advances towards me. Please help","49"
"NA","Alcohol should be served in Capri Sun pouches, when you can no longer get the straw in the hole.. you've probably had enough","45"
"NA","finals week has made me into a hot mess.... minus the hot, triple the mess ","43"
"NA","I don't really have distinct meal times anymore, I just sort of sit at my desk and consume all day. ","44"
"NA","I'm about to invest in a hang glider so next semester I can just fly from the top of isc and fly back to my dorm ","42"
"NA","Living on north side and dating someone who lives on southside is a long distance relationship","45"
"NA","To the girl who left her dildo in the dryer in daga. Your dildo is in the dryer.","41"
"NA","When bae doesn't know she's bae and she also has a boy friend ","31"
"NA","People take plagiarism on Yik Yak more seriously than they do on their final papers","31"
"NA","If he chooses booze, video games and porn over you, probably a good indication he is not worth your time right?","29"
"NA","Nothing like a hot laptop on my aching abdomen. #periodproblems ","31"
"NA","How many of you feel like you have been personally victimized by your finals? 💁","31"
"NA","I don't know why I shave my pubs when I have no girl to share my shaven dick with ","27"
"NA","Her gum to teeth ratio isn't great","32"
"NA","Do not watch the clock. Do what it does. Keep going.","32"
"NA","I'm tired of getting fucked in ways that don't end in orgasms. ","33"
"NA","It should be common practice for showers to have seats in them.","30"
"NA","Boys are poopy heads","30"
"NA","I'm so desperate for intimacy, not specifically sex, but being close with someone who cares about me","35"
"NA","procrastination has gotten so bad that I'm currently packing for break even though I still have two finals to go ","32"
"NA","I wish I could reenact the fantasy scenes from 50 shades of grey. Like the one where she gets a job right out of college.","34"
"NA","People who go running when there is snow &amp; ice on the sidewalks are the ones who will survive the apocalypse. ","44"
"NA","I'll definitely respond to a 3 am 'hey' when we don't even talk","33"
"NA","I just want my roommate to go home so I can have some peace and quiet  ","31"
"NA","Touched my shoulder before my butt","32"
"NA","Blaming my semester weight gain on the fact that the IB is closed and I can no longer drunkenly dance off my calories from alcohol.","45"
"NA","To the scumbag that told me to take advantage of the drunk girl I was with last night, fuck you  ","34"
"NA","All these girls saying guys make a move, you can do or say something too you know","28"
"NA","50 shades of dark circles under my eyes bc finals ","25"
"NA","You know you're best friends when you can ask them to like your Instagram picture with less than 11 likes with no shame","25"
"NA","Feeling shitty I wish I had someone here to tell everything to","26"
"NA","Didn't realize there are professors out there who actually give under an 80% for participation...","23"
"NA","To the hottest guy I helped getting snow for the snow ball fight last night!  You're such a good kisser","23"
"NA","Hauling ass to rochester right now for an extra credit assignment.","26"
"NA","For a school that's so obsessed with academics, maybe you should consider opening up THE FUCKING ACADEMIC BUILDINGS. ","36"
"NA","Making my way downtown, walking fast, hauling ass cause ITS COLD OUT","27"
"NA","Pancakes sound so good rn","18"
"NA","I wish I ordered uhots","19"
"NA","Today's the last sequential day of the century 12/13/14","19"
"NA","Hate how alcohol always makes me wake up early  ","16"
"NA","Nomatter how drunk i am my phone will always be plugged in in the morning","16"
"NA","My horoscope told me to listen to the voice in my head today and it's saying GET ME THE FUCK OUT OF GENESEO!!!!!","13"
"NA","All I want for Christmas is you is so not the same without the IB ","12"
"NA","I'm in love with the cocoa","12"
"NA","I like this girl so much but she has shoved me deep into the bowels of the friendzone and I've only know her for a semester ","11"
"NA","Just about to fall asleep...wait nope now I have to pee. ","11"
"NA","To all the geneseo guys on here who have an end of the semester crush...make.a.move. please ","13"
"NA","Cant wait to go home where people who arn't cas make me food. ","11"
"NA","Even porn hub is getting in the Christmas spirit. ","11"
"NA","That accounting final today sounded like the fucking plague with all your coughing.","11"
"NA","I poured some beer out in honor for the IB. RIP","11"
"NA","I just explained for 5 minutes to some idiot that you can't see thunder. Public Ivy my ass ","12"
"NA","Being disappointed by someone you love is a heartbreak in itself","12"
"NA","BROKE THE DRY SPELL","13"
"NA","Open at Clio! Come through, we have 2 kegs and lots of loose women ","13"
"NA","I'm glad to be apart of the greatest snowball fight in Geneseo ! ZBXi definitely won !t","13"
"NA","Her vocabulary is as bad as, like, whatever. ","13"
"NA","My Prime Directive: If I can't wear sweatpants to it, I'm not going","14"
"NA","Frankly, my dear, I've gotta catch 'em all. ","14"
"NA","Man I'm gonna lose like 8 pounds over Christmas break","16"
"NA","While you are out getting wasted, someone is working harder than you. ","15"
"NA","I like the way you work it. No diggity ","16"
"NA","Drunk people watching is so prime ","16"
"NA","Crushes are the worst especially end of the semester crushes","17"
"NA","300 miles and 4 years later and my boyfriend still turns me on like nothing else","19"
"NA","The best snowball fight jusy happened between EAM and ZBXi. And you missed","19"
"NA","RIP IB ","20"
"NA","That fraternal snow ball fight was the best thing to happen to my experience as a Greek member ","19"
"NA","That street wide snowball fight was awesome! ","19"
"NA","Sleeping butt ass naked tonight ","18"
"NA","To the cunt in jones that yelled at us for sledding, it's friday night calm your shit","20"
"NA","Waiting for a text you know you're not gonna get&lt;&lt;&lt;&lt;","18"
"NA","Feeling personally victimized by accounting","20"
"NA","Bourbon and Netflix tonight 💃💃💃💃","20"
"NA","Secret santas are so fucking stressful ","19"
"NA","I want him so much... But winter break. Ugh -_-","19"
"NA","Boys, last chance to ask me out before I get interrogated by my family","19"
"NA","Congratulations. You've made my last semester at geneseo completely miserable. ","20"
"NA","It's really awesome not having a roommate. ","22"
"NA","First time in weeks I have time to waste on Pinterest planning my imaginary future wedding ","24"
"NA","Sleeping with you, without having sex, was probably one of the best nights I've had in months. I wish I could do it again ","23"
"NA","How do you even go about meeting new people at this school? Everyone just hangs out with their own cliques ","22"
"NA","I like us better when we're wasted! 🍺🍸🍹🍷","26"
"NA","Tinder: so many dude bros holding fish... Why do you all hold fish?","26"
"NA","'Can I have a glass of wine? ' 'Ma'am, this is Starbucks...' 'I'm sorry, a VENTI glass of wine.'","26"
"NA","Please stop commenting #geneseocantbreathe on every yak. It's really fucking annoying. ","28"
"NA","Open at DK. Bring your own face to be sucker punched ","31"
"NA","Officially convinced I'm still single because I never forwarded those chain text messages back in the day","35"
"NA","You act like you like me, you act like you want to hook up with me, so why don't you ask me out?","31"
"NA","*second year at Geneseo and still waiting for someone to invite me out*","33"
"NA","If you ever feel bad about school, just know that some kid from my hometown got the Kmart logo tattooed on his foot. ","35"
"NA","Well that was an expensive F.","33"
"NA","Debit bad grades and Credit lack of sleep #AccountingProbs","33"
"NA","My boyfriend doesn't pay attention to me for 2 weeks and now that I'm studying for finals he's the neediest fucker ever. Like why??","34"
"NA","I'm crying because my brother just texted me and asked how I was doing. No one in my family ever talks to me :')","33"
"NA","I don't know why I pack so much stuff when I know I'm only going to wear the same three pajama pants for two weeks straight","35"
"NA","Weird how so much can change in a year. Geneseo used to be my dream school and now I just wanna leave and never come back","41"
"NA","MATH 327: Addition","41"
"NA","My bra matches my underwear aka I'm not wearing either","41"
"NA","'It's just one bad semester..' I whisper to myself for the third semester in a row.","43"
"NA","Accumulated Depression  (Joke for kids taking 7pm accounting final) ","36"
"NA","LETS GET CRAZY TN GENESEO!!! LAST FRIDAY OF THE SEMESTER LETS GO! ","46"
"NA","I'm all about that bus, bout that bus, no walking.","47"
"NA","If she's never experienced the IB, she's too young for you bro","52"
"NA","To the girl who left her bra in the library. I hope your day gets better, cus mine just did.","48"
"NA","A big 'thank you' to whoever just answered my homework question on yahoo answers from four years ago","43"
"NA","Just saw the best description by far on tindr-'looking for a man with a strong jawline so I have a place to sit' ","44"
"NA","Dobby has no more finals, Dobby is FREE!","49"
"NA","Early decision kids received their acceptances to Geneseo today. They don't know what's coming for them.","49"
"NA","B's are good, right?","50"
"NA","The tours going on right now is like taking people to a farm to see the cows right before getting slaughtered","49"
"NA","Why the FUCK are there tours going on right now? ","42"
"NA","Eyebrow game strong? More like eyebag game strong. Haha I'm fucking exhausted ","45"
"NA","If she calls Bank Street, 'Village Cafe' she's too young for you bro ","51"
"NA","hello, yes 911: can u tell geneseo to hold off on billing me until I'm done with finals","49"
"NA","Getting no message is also a message","50"
"NA","Here's something to cheer up anyone still studying for finals: Where do sick boats go? The dock ","43"
"NA","High School: need a C on a final to get an A..... College: need an A on a final to get a C","51"
"NA","Had the best threesome of my life last night. There were a couple no shows but I still had a great time. ","44"
"NA","Just saw a guy go to the bathroom with mouthwash and a toothbrush...he must be actually camping in the library ","40"
"NA","If a GPA falls in the week of finals, does it make a sound? ","42"
"NA","Women belong in the kitchen. Men belong in the kitchen. Everyone belongs in the kitchen. The kitchen has food. ","45"
"NA","For the kid who cheated off me in quant.. We failed buddy","49"
"NA","I feel like the decision between a teacher giving a B+ or an A- is a power trip ","45"
"NA","I used to be a straight A student. Used to be.","47"
"NA","fuck you, pores, always acting like I don't wash my face n shit.","52"
"NA","I'm not saying she's a gold digger. But she did rush to California in 1849 with panning and mining equipment","50"
"NA","CUZ IM FREEEEEEE, FREEEEEEE FALLLLLINGGGGGG","45"
"NA","PSA: WOLF OF WALL STREET ON NETFLIX ","43"
"NA","If I was at Buff state right now I'd have 5 A's and be on the dean's list. But I mean that's buff state.  ","44"
"NA","Gonna wear a Kobe jersey to my final so everyone knows I'm not passing.","39"
"NA","I was supposed to get better grades, lose weight and find a boyfriend this semester. I have accomplished none of these things. ","46"
"NA","High school reunion must have been really awkward for everyone who went to school with Beyoncé ","41"
"NA","break is going to be a 30 day long nap. ","36"
"NA","Not excited to be penetrated this early in the morning ","36"
"NA","Professors who have multiple choice tests that all the answers are true but one is 'more true' like to watch the world burn","40"
"NA","SUNY Geneseo - where trying your best is never good enough","31"
"NA","I don't want to sleep in my bed. I want to sleep in his bed with his arms around me. ","28"
"NA","Cortland English majors are currently cramming to learn the rest of the ABCs ","34"
"NA","PSA: The sidewalks are really icy this morning, I almost ate shit a couple times on my way to my final so watch your step people ","28"
"NA","Today's episode is brought to you by the letter coffee","26"
"NA","Wow this stress acne really compliments the bags under my eyes 💅","23"
"NA","The only thing getting me through this day of finals is the thought of crawling back into my bed when I'm finished","22"
"NA","What the actual fuck? Why are there fireworks? ","19"
"NA","Had one of those nights where I'm not really sure if I actually fell asleep or just rolled around in bed for six hours. ","22"
"NA","Me: 'I really can't stay' Bed: 'but baby it's cold outside'","26"
"NA","WHY THE FUCK AM I STILL AWAKE DOING WORK?!?!?!","20"
"NA","Better do well on finals. Or else that's gonna be you out there plowing the streets of geneseo in a few years..","22"
"NA","Holy shit it's 4am","21"
"NA","I'm too afraid to go to sleep because I don't think I'll wake up for my 8am final at this point.","20"
"NA","Drunk. In bed. A final tomorrow. Still no place I'd rather be","18"
