"score","message","prob"
"positive","i love my boobs. my butt is cute. i am a beautiful creature.",0.9303271740973046
"negative","sorry i went behind your bar dk... i guess youre intimated by a girl under 5 foot :(",0.5865384615384616
"positive","i love sending people snapchats that only show me from the chest up when im secretly not wearing pants",0.576725025746653
"neutral","its crazy how happy one person can make you ☺️",0.9251768346595933
"neutral","first breakdown of finals week ✅",0.9168674698795181
"negative","only way failing finals can be avoided for me is if the alaskan bullworm destroys suny geneseo",0.5733681462140993
"negative","all i wanna do is powder the pages of my hardest final with a lethal poison to punish the professor for harshing my mellow",0.6511528608027327
"positive","told my mom that i was stressed and worried for midterms. she sends me pictures from when i was 8 and says look how happy and positive you are. remember were proud of you no matter what happens.",0.990441638177632
"negative","i really wish i didnt have class during to protest today :/",0.4925465838509317
"positive","just remember: if youre smart enough to get in here everything will be okay :)",0.5215366705471478
"negative","the only test i was happy to fail this week: a pregnancy test",0.3559816590245936
"positive","got up early to get starbucks before my 8:10 so proud of myself for actually waking up get to the union starbucks is closed. great way to start the day!",0.6786551993745115
"positive","i love red lipstick i just wish i had more occasions to wear it",0.5054151624548737
"negative","im a cat and a mother. i gave birth to a beautiful kitten last year that was killed by a bunch of dks 😿 please help spread awareness in the name of my kitten",0.43966227347611203
"neutral","i hope my knees dont fail me now",0.5571010248901903
"neutral","fuck man im in love with lil dicky",0.5739064856711915
"neutral","whelp b in my favorite non major class :/",0.5332866152768045
"negative","cumulative final exams are like fights in relationships. why must we continue to bring up the past? whats done is done.",0.6215840666975452
"negative","wow i really dont want to write this paper due tomorrow 😭",0.4925465838509317
"negative","ready to walk outta this final playing i dont fuck with you dedicated to my professor",0.5593311758360303
"negative","favorite hockey player cut his hair and didnt shave his mustache.. :(",0.4925465838509317
"negative","petition to have the cookie elf walk around the library during finals",0.4925465838509317
"positive","when a cute boy walks you to class and youre trying to hide how out of breath you are",0.576725025746653
"neutral","🍺          🏃         📖",0.9999833989288479
"neutral","i would love my crush so hard",0.5992125984251968
"neutral","does watching khan academy videos count as studying? 😕",0.5332866152768045
"neutral","when i go home im making a gingerbread house 🎅",0.9862158341187558
"neutral","can someone just wake me up when finals are over",0.5114247311827956
"neutral","it’s so sad when you crave someone you can’t have",0.5114247311827956
"positive","🐮this emoji is terribly accurate on both accounts. big girls need love too.",0.48816936488169366
"neutral","what is love",0.7275334608030593
"neutral","number of people who hate finals week!  --------------------------------------------------&gt;",0.5332866152768045
"neutral","want to thank the cortland womens basketball team in town for becoming our future phys ed teachers 🙌 playing elementary games is difficult!!!!",0.9936347315162396
"negative","i learn the name of a well established sorority/frat everyday. i just nod and pretend like i know them whenever one gets brought up in conversation 😳",0.6764356435643565
"neutral","anyone wanna come suck a beautiful hot guys dick?",0.5506512301013023
"neutral","im in love with the coco",0.6268533772652388
"negative","what are petersons chem 116 finals like? hard/easy? any repeated test or review questions?",0.5282909930715937
"positive","omg i have been deprived of this gloriousness that is geneseos marvelous yik yak. welcome home :)",0.5508196721311476
"neutral","god bless teachers that curve 🙌",0.9785084496693608
"neutral","transfer students are really awesome :)",0.6268533772652388
"positive","feeling cute and confidant enough to sit in front of the cute boy in class today ayyyy",0.956659285036381
"neutral","your perfect brown skin your perfect brown eyes: i love you carlos",0.4909677419354839
"neutral","instead of studying today i learned the important fact that there is a place called weed in california. 😋",0.9923713894503489
"positive","dont forget you can bring a cheat sheet to quinns b law mid term tomorrow 😊",0.5366403607666291
"negative","ok i havent been to class in like 4 weeks and im slightly confused... is the bio 116 final on everything or just the last 4 chapters?",0.6764356435643565
"negative","been carrying my benzos around all day just in case. that finals life.",0.5110712148414124
"neutral","turn up 🙌",0.9629863967099019
"positive","geneseos very average looking male population will never again experience the luxury of having all these beautiful women to hook up with after college. this place makes us lower our standards.",0.685539403213466
"negative","happy ill be home soon with my family but then i remember the 5 finals i have and i die a little on the inside",0.4170391795950566
"positive","finally took the step & made an appointment to speak with a therapist. looking forward to getting better & overcoming my depression 💕",0.6204986149584488
"positive","i just want to find a girl to love and who wants to travel the world with me",0.5641569459172854
"positive","love that time of year when my skin decides it really wants to adopt reptile-like qualities.",0.5366403607666291
"positive","have a nice break everyone! see you all in a week and then itll almost be break again :)",0.576725025746653
"positive","dont you worry there my honey we may not have any money but we got our love to pay the bills❤️",0.5998052580331061
"neutral","just saw three kids snowboarding down court street. 👏",0.9848582891160864
"neutral","fuck everybody with noncumulative finals",0.643279797125951
"negative","set my alarms for finals week and turned off the repeat weekly option",0.5110712148414124
"negative","when people complain as if theyre the only one with tons of shit to do 🔫",0.5593311758360303
"neutral","so happy to have geneseo yak back",0.5992125984251968
"positive","im sorry but i am so fucking tired of having all of my friends nice happy relationships shoved in my face every god damn day and constantly being forgotten about while everyone else is off together",0.7159640635798202
"neutral","you will always be at the heart of my world ❤️",0.9873499837820305
"negative","comn majors get so upset when you make fun of their major but like you knew what you were getting into when you chose to be a comn major",0.6913486966377032
"positive","listen to you and me by penny & the quarters. up vote if you liked it :)",0.5508196721311476
"negative","i heard the fire alarm while i was showering and thought the alarm was real... :(",0.5593311758360303
"neutral","im proud of myself",0.690562613430127
"neutral","why do sorority girls love their anoraks so much?",0.5506512301013023
"positive","my boyfriend is in for a treat. im so pumped to give an amazing blowjob when i go home and see him",0.6104265402843603
