"score","message"
'neutral','will buy adderall $15 a pill'
'negative','no seats whatsoever in the library adderall supplies running low short lines at fusion...thats when you know its officially finals time.'
'positive','i love pussy i love bitches dude i should be running peta'
'negative','wish i could tell my roommate she has to clean her dishes before she can go to a party....i dont know when this happened i turned into my mother'
'neutral','can someone in intro to logic please tell me if our final is in the normal room tomorrow?'
'negative','if you go on a break and hook up with 10 other guys, id say its time to break up.'
'neutral','i really wish sober me was as brutally honest as drunk me is'
'negative','you wanna fuck with people? tell them that slaves harvested their chocolate and diamonds. it doesnt bother me because im a total sociopath but it sure bothers others!'
'negative','every time i settle in for a quick 15 minute nap i wake up an hour later going wtf.'
'positive','i said i would study all night. ended up trying to find my hot math teacher from high school on facebook and hitting her up.'
'neutral','asian in the baseball cap in milne we still meeting up?'
'neutral','my pubes dont grow past a certain length. they just get thicker'
'negative','the fact that geneseo pressures students to do well during finals week yet doesnt provide adequate study areas baffles me'
'neutral','whoever keeps putting snow on my car. stop it. its not funny.'
'negative','if he chooses booze video games and porn over you probably a good indication he is not worth your time right?'
'positive','im writing a paper on the tv show the big bang theory. college is weird.'
'neutral','i have jacqueline millers wallet! someone tell jacqueline to come pick her shit up'
'negative','this meeting is only half way over and its been 2 hours and 30 mins already.....'
'negative','geneseo the type of school that when the professor leaves the room during the final no one help each other out.'
'negative','am i wrong in assuming that all the sad im lonely yak posts are made by geneseos ugly population. i mean if youre at least mildly passable you wouldnt need to resort to yik yak'
'negative','mixed signals have me more lost than i am with finals amirite'
'negative','first breakdown of finals week ✅'
'negative','its a sad day when you realize your greatest accomplishment since being at college is getting 100+ up votes on your yak'
'positive','i just want to make out right now.'
'neutral','someone help me with r please???'
'negative','when your friend is in high school but pretends to be in college to get ups on yik yak'
'neutral','sorry to the girls at kellys earlier i thought that dude was your friend'
'negative','twas the night before finals and all through geneseo, fuck this poem i need to study for cell bio.'
'neutral','it should be common practice for showers to have seats in them.'
'neutral','how are people studying for geigers orgo exam? tips? 50 multiple choice questions.'
'neutral','does anyone else have any clue what the point of mapes/woidats paper is honestly i have no clue? help.'
'negative','bought a new crib just to slit my neck bought a new car just to slit my neck.'
'neutral','i thought white noise was the sound of people complaining at starbucks.'
'neutral','when are they posting the bio 116 exam grades?'
'positive','failing all my finals but at least im not pregnant :) :)'
'positive','anyone who wants to come over and weep over the thought of class tomorrow; i have 2 cartons of ice cream doritos and broken aspirations to share'
'positive','ah nothing like having a nightcap or three before bed'
'negative','fredonia going down like they got cramps'
'neutral','anyone else having mad problems with the last online quiz for macro with annala. took it 7 times already still didnt get a 100 😭'
'negative','no milne i dont want the fucking foxit pdf reader i need a goddamn printer'
'positive','one more day one day more🎉🍗'
'negative','got a pregnancy test today... so what im a guy, i wanted to at least pass one test this semester..'
'neutral','downing your own yak<<<<<<'
'negative','ran up the hill and i cant catch my breath omg'
'negative','if youre racist i will attack you with the north'
'positive','i want eye surgery just so i can survive the apocalypse without worrying about contacts and glasses'
'neutral','pulling out safely. aint no body got time for that.'
'positive','thank goodness kids are coming back. the yaks here over break were pitiful.'
'neutral','that heart pounding moment when you accidentally almost liked someones post on facebook from 2009 😰'
'negative','that moment when youre so used to getting smacked on friday that when you actually dont go out and wake up the next day your body still feels like its disoriented from being blackout'
'negative','i cant wait to die'
'neutral','mood: *white kid from 90’s tv show on bed throwing baseball up in the air and catching it while staring at ceiling*'
'negative','there is no greater sense of betrayal then accidentally snapping yourself with your bra strap.'
'positive','cant believe todays christmas 1st!!!'
'negative','went out to get barbecue tonight for no other reason than because i was sad. i wasnt hungry. we just used to go there together and eating there reminded me of those times. breakups suck.'
'negative','coming back and your shitty roommate already being there'
'negative','i like this girl a lot but im soooooo tired of her shit.'
'positive','wanna fuck tonight girl looking for some dick'
'negative','maybe today ill grow a pair of balls and finally hurl myself off of the isc in the name of science'
'neutral','fire alarm goes off in union. everyone looks at each other. no one moves.'
'positive','banged a professor!'
'neutral','i dont think you know the first thing about tomahawking anyone'
'neutral','watching titanic to study for my finals makes sense right?'
'negative','maybe if i friendzone my finals theyll stop trying to fuck me'
'neutral','does anyone like odd future who wants to be my friend'
'negative','sometimes i respond to my own yaks with a rude comment so i feel like ive explored both sides of an argument'
'positive','who wanna party tonight?'
'positive','to the two guys who just frantically tried to hide the fact they kissed...its all good, do you'
'positive','im in love with the coco'
'neutral','should i have gone to theatre this morning? i probably could have used the review but it was so early/cold...'
'neutral','someone help me cure this hangover pls'
'negative','if one more person talks about how the yaks in their hometown sucked i will personally shove a yak up your ass.'
'negative','damn girl, are you my homework? because i fucking hate you'
'negative','when you find out your favorite porn video was deleted :('
'negative','these yaks are making me so disappointed in geneseo'
'positive','blew my boyfriend this weekend while he played video games with his friends online. shhh they dont know'
'negative','i am a popsicle. brightly colored but cold to the touch and with a wooden heart.'
'neutral','im sorry people of the quiet section in milne i know my boots are really really squeaky.'
'negative','i dont give a shit if the people in missouri destroy their town who the hell do they think they are punishing?'
'positive','i just want someone to suck my tits. that is all.'
'positive','just remember how good it feels to be done with finals'
'negative','should i take humanities next semester? please reply'
'neutral','the three inches of snow outside is less than i have in my pants'
'negative','whoever threw up on the floor in daga fuck you. i walked into your goddamn vomit.'
'neutral','took me 20 years to realize that the numbers on the toaster dial are for minutes not toastyness'
'neutral','i have an exam in five hours. i should probably study'
'neutral','whoever has a blue hyundai sonata that lives in courtside a or f u left ur lights on inside ur car.'
'neutral','adderall is the valedictorian and coffee is the salutatorian of every graduating geneseo class'
'positive','thanks to everyone on my floor for not stealing my clothes after leaving them in the laundry room for a week. you da real mvps'
'negative','i am absolutely appalled by the responses on yikyak. and here i thought you had to be intelligent to go to geneseo. this issue is so much bigger than mike brown why cant some people see that?'
'neutral','everyone gets religious when theyre either in a foxhole or about to take a final'
'positive','if we made it to thanksgiving, then maybe just maybe we could make it to christmas break.'
'positive','im in love....'
